available;categoryId;cpa;currencyId;delivery;description;discount;id;manufacturer_warranty;market_category;model;modified_time;name;oldprice;param;pickup;picture;price;real_category_name;sales_notes;store;type;typePrefix;url;vendor;vendorCode,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2043-11009;true;Женщинам > Одежда > Рубашки;0;0;Блуза женская;0;0;true;https://kanceptkrama.by/image/catalog/photos/murmur/76ddce91-1c96-4ba5-8c5d-3e24c5674b02.jpeg;104;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-zhenskaya-2043-11009-11009;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1134-05;true;Женщинам > Одежда > Рубашки;0;0;Блуза из ткани с добавление люрекса;0;0;true;https://kanceptkrama.by/image/catalog/photos/jbc/c158fbd3-e337-408d-af8b-0499bc031fc9.jpeg;160;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-iz-tkani-s-dobavlenie-lyureksa-1134-05-05;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1132-03;true;Женщинам > Одежда > Рубашки;0;0;Блуза из ткани с люрексом ;0;0;true;https://kanceptkrama.by/image/catalog/photos/jbc/9c89a194-8515-4cda-b5ed-81aee006f31c.jpeg;160;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-iz-tkani-s-lyureksom-1132-03-03;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;940-BLOUSE PINK ;true;Женщинам > Одежда > Рубашки;0;0;Блуза нарядная из кружева;0;0;true;https://kanceptkrama.by/image/catalog/photos/tsuran/platjanovyjgod/8f852a5f-7146-40f4-ab6f-1f9b6c3719e1.jpeg;130;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-naryadnaya-iz-kruzheva-940-blouse-pink-blouse-pink-1;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;2041-04;true;Женщинам > Одежда > Рубашки;0;0;БЛУЗА ПЕСОЧНОГО ОТТЕНКА;0;0;true;https://kanceptkrama.by/image/catalog/photos/Totallook/1/140.jpg;120;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-pesochnogo-ottenka;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1329-10;true;Женщинам > Одежда > Рубашки;0;0;Блуза с V- образным вырезом;0;0;true;https://kanceptkrama.by/image/catalog/photos/Malko/9/IMG_2124.jpg;120;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-pesochnogo-ottenka;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1690-05;true;Женщинам > Одежда > Рубашки;0;0;Блуза с акцентными рукавами;0;0;true;https://kanceptkrama.by/image/catalog/photos/ragneda/d729c32a-bf9b-408f-be26-030b8f73f278.jpeg;195;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-s-akcentnymi-rukavami-1690-05-05;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1745-20;true;Женщинам > Одежда > Рубашки;0;0;Блуза с объемным рукавом;0;0;true;https://kanceptkrama.by/image/catalog/photos/myBase/5/photo5.jpg;129;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-s-obaemnym-rukavom;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1130-01;true;Женщинам > Одежда > Рубашки;0;0;Блуза шелковая;0;0;true;https://kanceptkrama.by/image/catalog/photos/jbc/27e87603-aa5c-49c5-b7f6-8eaeaa346ce0.jpeg;320;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/bluza-shelkovaya-1130-01-01;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;1135-06;true;Женщинам > Одежда > Рубашки;0;0;Женская блуза ;0;0;true;https://kanceptkrama.by/image/catalog/photos/jbc/889732ff-eaed-45af-b649-855295635b2b.jpeg;180;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/zhenskaya-bluza-1135-06-06;kanceptkrama;0,,,
true;Корневая категория/Default category/Женщинам/Одежда/Рубашки;1;BYN;true;0;0;936-25294-2003;true;Женщинам > Одежда > Рубашки;0;0;Шелковая блуза с бантом прозрачная;0;0;true;https://kanceptkrama.by/image/catalog/photos/tsuran/platjanovyjgod/1bc00f2e-60bf-4f61-9438-748d138666f2.jpeg;210;Блуза;Оплата после примерки.;true;vendor.model;Блуза;https://kanceptkrama.by/woman/bluzy/shelkovaya-bluza-s-bantom-prozrachnaya-936-25294-2003-25294-2003;kanceptkrama;0,,,
